:START_ID(Fact),:END_ID(Topic),:TYPE
79ad87c900add25c80469d1ef5b989bdcc6393f8,социальные сети,HAS_TOPIC
79ad87c900add25c80469d1ef5b989bdcc6393f8,блокировка аккаунта,HAS_TOPIC
b7defc6281cdd758cc472ab364782a0e6a0044da,апелляция,HAS_TOPIC
b7defc6281cdd758cc472ab364782a0e6a0044da,социальные сети,HAS_TOPIC
06254196015243103c5d1eb2a23d3d463ef3b843,социальные сети,HAS_TOPIC
06254196015243103c5d1eb2a23d3d463ef3b843,блокировка аккаунта,HAS_TOPIC
927e8ccf01358b081a112ca7afaf133207fc5ffd,социальные сети,HAS_TOPIC
927e8ccf01358b081a112ca7afaf133207fc5ffd,правила,HAS_TOPIC
d3739bf183178fd465f66ebdde9e55e109e753cf,социальные сети,HAS_TOPIC
d3739bf183178fd465f66ebdde9e55e109e753cf,блокировка аккаунта,HAS_TOPIC
64f1e508a5f6e30b172d4780d14faa2fbb8f59ed,здоровье,HAS_TOPIC
64f1e508a5f6e30b172d4780d14faa2fbb8f59ed,физическое состояние,HAS_TOPIC
9202dcfe1c8fbb238f6b46dc3a541d3f8dbbd5fe,здоровье,HAS_TOPIC
9202dcfe1c8fbb238f6b46dc3a541d3f8dbbd5fe,физическое состояние,HAS_TOPIC
3c7e26f2e0c521d76e933e447df11da95b4255e0,здоровье,HAS_TOPIC
3c7e26f2e0c521d76e933e447df11da95b4255e0,эмоциональное состояние,HAS_TOPIC
80a119be161d8c3d427dd804d429ace4c09f30c8,социальные сети,HAS_TOPIC
80a119be161d8c3d427dd804d429ace4c09f30c8,отсутствие,HAS_TOPIC
021519e30520d25f67d41cd95f293ae33feb6263,социальные сети,HAS_TOPIC
021519e30520d25f67d41cd95f293ae33feb6263,блокировка,HAS_TOPIC
daab02da974c1c14c6344d5a74d664013ed307ed,поддержка,HAS_TOPIC
daab02da974c1c14c6344d5a74d664013ed307ed,трудности,HAS_TOPIC
2e66aea57a268a4ff1506a33ff1f257100cfefef,сон,HAS_TOPIC
2e66aea57a268a4ff1506a33ff1f257100cfefef,советы,HAS_TOPIC
0d932bc09ce7bf9e1e003a56daf776a7013f899e,недовольство,HAS_TOPIC
0d932bc09ce7bf9e1e003a56daf776a7013f899e,усталость,HAS_TOPIC
5be073236bf1b5f722ccf3c329c71b03fbe00279,поздравление,HAS_TOPIC
5be073236bf1b5f722ccf3c329c71b03fbe00279,восстановление,HAS_TOPIC
7b49a62b9da26437ad723b15f79469895a0e3d69,отношения,HAS_TOPIC
7b49a62b9da26437ad723b15f79469895a0e3d69,обращение,HAS_TOPIC
9f91f3a6e647c90de2b64beed8ac849ef7d4f571,встреча,HAS_TOPIC
9f91f3a6e647c90de2b64beed8ac849ef7d4f571,неудачная встреча,HAS_TOPIC
7884a6cddb6fb6e8c61e66fe05959f0691f31bdb,место,HAS_TOPIC
7884a6cddb6fb6e8c61e66fe05959f0691f31bdb,предпочтения,HAS_TOPIC
c9f0cfae9eb27430933845d6577f62d1786fa258,встреча,HAS_TOPIC
c9f0cfae9eb27430933845d6577f62d1786fa258,сессия,HAS_TOPIC
956541bf6a9d23f49f37bbe6ea98a9d4a9ccfdcf,встреча,HAS_TOPIC
956541bf6a9d23f49f37bbe6ea98a9d4a9ccfdcf,отсутствие взаимодействия,HAS_TOPIC
79fd4f4a0871c1d555e020c3b1762b01dbd1a281,общение,HAS_TOPIC
79fd4f4a0871c1d555e020c3b1762b01dbd1a281,сленг,HAS_TOPIC
7afee0c4ae87cfc8a1b9144b2123fe5fa287cdef,чипизация,HAS_TOPIC
412c6f1fb269a9dda6458807b4a3ce9a3b6a460c,довод,HAS_TOPIC
fb77e7d161ae8e5e78544b9d6666306c59965c04,довод,HAS_TOPIC
1f961912452a8eda5583824c7bd9b07a5e36e719,общение,HAS_TOPIC
1730d503064e7fae9d3b5c463d5725655e6b0a3c,довод,HAS_TOPIC
9c8ee10629b0a9d8adc462b7c126b800db1611be,дизайн,HAS_TOPIC
9a9bbfccb46ab41e361af1e9f535c8d1b02608a8,фильмы,HAS_TOPIC
36d994cf29168c6f9a9082f0ecb413461e41d6df,фильмы,HAS_TOPIC
3f6e825427869f5a182e6649c306f177b5fd3fe3,красота,HAS_TOPIC
a53a7fd70b2fb6a166237ddb56e09337db4ac8a1,дружба,HAS_TOPIC
06ee2d3a96abce7dd475a5f1a3ea4293263b7bef,профессия,HAS_TOPIC
2b1f7b9931c23dffa171239a5739137b1e750c5b,занятие,HAS_TOPIC
cd562db5182f70639134aa944a88f8c55699c515,знакомые,HAS_TOPIC
1f6389bcab22d0fa64602bc091f45cb506f7c825,предпочтения,HAS_TOPIC
31c275e55fd1679e49875cefb6cf4885d2610328,события,HAS_TOPIC
7b1327e5da2a035e968039a596f0b6b91a656172,эмоции,HAS_TOPIC
e4ba0fbc121c33f7798c2fe00d6c757d7de9c37a,отношения,HAS_TOPIC
b26a253cefd48124d0cd7e2595e9817d0faea316,хобби,HAS_TOPIC
66f60628481556d1afc5591256e8d030be4f9ffa,дружба,HAS_TOPIC
971cd774f936380f44e11043cc78566695bb2a73,общение,HAS_TOPIC
323e8a1632ac97db58cfb938f4b3600361889f7a,предпочтения,HAS_TOPIC
af1abc1ec8b9daa89d6e5ff8027590395c439287,встреча,HAS_TOPIC
b158f7903c1bcea1684a7dfc3a259cf2e99d10d3,общение,HAS_TOPIC
f5dea11879506e8e0e4831d0581f69700eafdce1,предпочтения,HAS_TOPIC
338050c458841176580e96175700a2a475951466,встреча,HAS_TOPIC
5ba7fce3beb6534f2337f3ac06eea05cdcd7d904,профессия,HAS_TOPIC
35d7c84268a9b7a0fa0749e46aabb08a788955c2,здоровье,HAS_TOPIC
e715d1e9e0f1b380d427df9aae5be4440106c716,встреча,HAS_TOPIC
525b07cb0ffdbecb4ad670ac0df0ad03eead8078,курение,HAS_TOPIC
53e8325a6671075387aa1af0d6b101bc43592545,встреча,HAS_TOPIC
